2.02	4.3168	0.02	3.9923	-1
2.041	3.6433	0.041	4.0334	-1
2.0625	3.9176	0.0624	4.0754	-1
2.0844	4.0766	0.0842	4.1183	-1
2.1297	4.2553	0.1291	4.2068	-1
2.02	4.3164	0.02	4.2068	-1
2.153	4.3103	0.1521	4.2525	-1
2.1768	4.3579	0.1756	4.2991	-1
2.2012	4.4003	0.1994	4.3467	63.2505
2.2514	4.4827	0.2483	4.445	13.5169
2.1417	3.4893	0.1401	4.445	-1
2.0196	4.3121	0.0196	4.445	-1
2.2774	4.5154	0.2733	4.4958	7.2768
2.1677	3.6989	0.1654	4.4958	-1
2.3039	4.5587	0.2988	4.5476	4.6972
2.1942	3.8667	0.1911	4.5476	-1
2.3309	4.603	0.3246	4.6005	3.974
2.2212	4.0069	0.2172	4.6005	-1
2.3868	4.6944	0.3775	4.7098	4.0201
2.2771	4.2326	0.2707	4.7098	-1
2.0183	4.3019	0.0183	4.7098	-1
2.4156	4.7384	0.4046	4.7663	4.1594
2.3059	4.3274	0.2981	4.7663	-1
2.1838	3.2246	0.1795	4.7663	-1
2.4451	4.7896	0.432	4.8239	4.2909
2.3354	4.4141	0.3258	4.8239	-1
2.2132	3.4579	0.2076	4.8239	-1
2.4752	4.8315	0.4599	4.8827	4.415
2.3655	4.4943	0.354	4.8827	-1
2.2433	3.6577	0.2362	4.8827	-1
2.5373	4.928	0.5168	5.0042	4.6374
2.4276	4.6487	0.4116	5.0042	-1
2.3054	3.9857	0.2946	5.0042	-1
2.0153	4.1688	0.0153	5.0042	-1
2.5693	4.9773	0.5459	5.0669	4.73
2.4596	4.7073	0.4411	5.0669	66.8849
2.3375	4.1188	0.3245	5.0669	-1
2.602	5.0245	0.5754	5.1309	4.8196
2.4923	4.7763	0.4709	5.1309	26.4664
2.3702	4.2402	0.3547	5.1309	-1
2.2336	3.2083	0.2246	5.1309	-1
2.6354	5.0678	0.6052	5.1962	4.8974
2.5257	4.8465	0.5011	5.1962	12.1842
2.4036	4.3569	0.3854	5.1962	-1
2.267	3.4388	0.2557	5.1962	-1
2.7044	5.1715	0.6662	5.331	5.0372
2.5946	4.9488	0.5628	5.331	3.755
2.4725	4.5715	0.448	5.331	-1
2.3359	3.8273	0.3194	5.331	-1
2.0094	3.3449	0.0094	5.331	-1
2.7399	5.2228	0.6972	5.4006	5.0965
2.6302	5.0282	0.5943	5.4006	3.291
2.508	4.6451	0.4799	5.4006	-1
2.3714	3.9887	0.3518	5.4006	-1
2.7762	5.2512	0.7287	5.4715	5.1812
2.6664	5.102	0.6261	5.4715	3.3864
2.5443	4.7314	0.5122	5.4715	-1
2.4077	4.139	0.3847	5.4715	-1
2.2542	3.0964	0.2409	5.4715	-1
2.8132	5.3198	0.7606	5.5439	5.2536
2.7035	5.1562	0.6584	5.5439	3.6146
2.5813	4.8342	0.5449	5.5439	-1
2.4447	4.2838	0.418	5.5439	-1
2.2912	3.3438	0.2748	5.5439	-1
2.8895	5.4144	0.8255	5.6933	5.3844
2.7798	5.2792	0.7241	5.6933	4.0832
2.6577	5.0052	0.6116	5.6933	14.1427
2.521	4.4955	0.4858	5.6933	-1
2.3676	3.7664	0.344	5.6933	-1
2.9289	5.4495	0.8586	5.7702	5.4159
2.8191	5.3242	0.7576	5.7702	4.2508
2.697	5.0656	0.6455	5.7702	8.0826
2.5604	4.6332	0.5203	5.7702	-1
2.4069	3.9433	0.3791	5.7702	-1
2.969	5.512	0.892	5.8487	5.5008
2.8593	5.3822	0.7914	5.8487	4.4416
2.7371	5.1313	0.6799	5.8487	5.202
2.6005	4.7564	0.5552	5.8487	-1
2.447	4.1156	0.4147	5.8487	-1
2.274	3.0881	0.2554	5.8487	-1
3.0099	5.5422	0.9259	5.9288	5.5574
2.9002	5.4432	0.8257	5.9288	4.6358
2.7781	5.224	0.7146	5.9288	4.0222
2.6414	4.8521	0.5905	5.9288	-1
2.488	4.2741	0.4507	5.9288	-1
2.315	3.3417	0.2922	5.9288	-1
3.0943	5.6241	0.9949	6.0938	5.6816
2.9846	5.5505	0.8955	6.0938	4.948
2.8624	5.3403	0.7853	6.0938	3.6559
2.7258	5.0336	0.6623	6.0938	-1
2.5723	4.529	0.5238	6.0938	-1
2.3993	3.7828	0.367	6.0938	-1
3.1377	5.6964	1.0299	6.1788	5.7259
3.028	5.5888	0.9309	6.1788	5.0546
2.9059	5.423	0.8212	6.1788	3.8006
2.7692	5.131	0.6988	6.1788	8.6169
2.6158	4.6492	0.561	6.1788	-1
2.4428	3.9736	0.405	6.1788	-1
3.182	5.7189	1.0654	6.2655	5.8022
3.0723	5.6475	0.9668	6.2655	5.1925
2.9502	5.4686	0.8576	6.2655	3.9419
2.8135	5.1992	0.7356	6.2655	6.3388
2.6601	4.7904	0.5986	6.2655	-1
2.487	4.1545	0.4433	6.2655	-1
2.2915	3.1324	0.2664	6.2655	-1
3.2272	5.7844	1.1013	6.3538	5.8396
3.1175	5.6966	1.003	6.3538	5.3118
2.9953	5.5395	0.8943	6.3538	4.1688
2.8587	5.2851	0.7729	6.3538	4.9274
2.7052	4.9074	0.6365	6.3538	-1
2.5322	4.3178	0.4821	6.3538	-1
2.3367	3.3889	0.3061	6.3538	-1
3.3202	5.87	1.1742	6.5357	5.9707
3.2104	5.795	1.0768	6.5357	5.5186
3.0883	5.6444	0.9689	6.5357	4.551
2.9517	5.4374	0.8486	6.5357	3.893
2.7982	5.0869	0.7135	6.5357	-1
2.6252	4.5928	0.5607	6.5357	-1
2.4297	3.8276	0.3867	6.5357	-1
